,GAMA_ID,lambdar_log_mstar,z
2208,15725,10.392708,0.13605
2209,15726,9.375988,0.12541
2222,15739,10.585897,0.14509
2223,15740,9.979747,0.12281
2226,15745,10.417578,0.12769
2228,15749,10.921168,0.12571
2229,15750,11.016968,0.12573
2230,15751,10.5295,0.1225
2232,15753,10.1305895,0.14567
2234,15755,10.6323395,0.12538
2235,15756,11.018635,0.12385
2237,15758,10.414845,0.12577
2242,15763,10.862354,0.14478
2243,15764,10.895389,0.12463
2245,15766,9.174076,0.055
2249,15770,9.85284,0.12504
2250,15771,10.809267,0.11815
2253,15774,10.741413,0.14301
2256,15777,10.370341,0.12588
2275,15796,9.938825,0.14597
2279,15800,9.141632,0.05504
2285,15806,9.674834,0.12611
2289,15810,10.268524,0.12584
2291,15812,10.836008,0.12601
2295,15816,11.046692,0.12543
2296,15817,11.485014,0.12564
2299,15820,9.675712,0.12548
2300,15821,10.787989,0.1266
2301,15822,10.571335,0.12525
2302,15823,9.459613,0.05699
2304,15825,10.280794,0.08462
2305,15826,10.498907,0.12513
2306,15827,9.916021,0.12661
2309,15831,10.94249,0.11062
2320,15842,9.821181,0.1385
2325,15847,9.731886,0.05703
2328,15850,9.49738,0.11488
2329,15851,10.750117,0.08499
2330,15852,8.633131,0.05699
2331,15853,10.1424465,0.13148
2332,15854,10.636658,0.13737
2333,15855,9.897462,0.05667
2338,15860,9.973498,0.1249
2341,15864,10.614717,0.11849
2342,15865,10.639305,0.12669
2343,15866,9.816947,0.13804
2348,15871,9.958517,0.1249
2361,15884,9.958748,0.12596
2362,15886,10.11518,0.13656
2371,15896,11.049559,0.12917
2372,15897,10.467438,0.10181
2373,15898,11.388405,0.0568
2374,15899,11.239082,0.10264
2377,15902,10.454883,0.1012
2378,15904,9.456065,0.09874
2379,15905,9.491659,0.12673
2380,15906,10.821029,0.10183
2381,15907,10.311108,0.10345
2382,15908,9.994099,0.12555
2383,15909,10.294167,0.10151
2384,15910,10.0673065,0.10232
2385,15911,10.211039,0.10286
2386,15912,10.913427,0.10363
2387,15913,10.376314,0.12552
2388,15914,9.673191,0.12556
2389,15915,10.663212,0.12632
2390,15916,11.283583,0.1262
2391,15917,10.30508,0.10415
2392,15918,10.940479,0.12709
2393,15919,10.936015,0.1293
2394,15920,10.308832,0.10361
2395,15921,10.102918,0.10063
2396,15922,10.848908,0.10452
2397,15923,10.287785,0.10261
2398,15924,10.020576,0.1021
2400,15926,10.7475,0.09972
2405,15932,10.133515,0.10232
2407,15934,9.95953,0.10041
2409,15936,9.904485,0.10196
2416,15943,9.415113,0.12889
2418,15945,10.029651,0.11881
2422,15949,9.749247,0.10364
2424,15952,9.93097,0.10491
2425,15953,9.813537,0.10073
2426,15954,10.195973,0.10174
2430,15958,10.279315,0.05586
2432,15961,8.961879,0.03051
2434,15963,10.118582,0.11842
2438,15967,10.335814,0.09834
2443,15972,10.754266,0.11732
2444,15973,8.7727,0.02988
2445,15974,10.991767,0.1234
2446,15975,10.370614,0.10747
2447,15976,10.72413,0.12768
2448,15977,10.16107,0.12941
2451,15980,11.145388,0.12723
2452,15981,10.607978,0.1285
